N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,REGISTRANT NAME,STREET,CITY,STATE,ZIP,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,EXPIRATION DATE
1055S,54150                         ,1530196,67000,    ,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,005,US,20231224,20160417,1T        ,5,5 ,V ,50040070, ,20200808,20270104
105PU,17226988                      ,1751024,17041,2013,WILLIAMS ROBERT K                                 ,2078 CESSNA BLVD                 ,SANTA ANA         ,CA,74340     ,7,036,US,20231120,20151130,1U        ,5,1 ,V ,50046600, ,20240702,20300912
10679,17230701                      ,1751024,17041,1998,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,035,US,20030219,20010704,1N        ,5,1 ,V ,50001565, ,20030307,20310503
1071D,28-1969241                    ,2630808,30062,1978,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,114,US,20240421,19780806,1A        ,5,1 ,V ,50046704, ,19970829,20260421
1074S,K6799-15                      ,1310632,30062,1969,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,131,US,19840907,19721214,1A        ,5,1 ,V ,50112006, ,20060207,20260322
10773,7045                          ,1200133,41060,1962,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,183,US,20200729,19650423,1T        ,5,5 ,V ,50024077, ,        ,20260828
107MR,M3458-49                      ,1310193,41538,2007,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,135,US,20190531,20090214,1N        ,4,2 ,V ,50040321, ,20121012,20270902
107MZ,17267229                      ,1750529,30010,2014,EDWARDS MICHAEL T                                 ,9441 HANGAR LN                   ,KANSAS CITY       ,MO,60328     ,C,158,US,20150510,20140501,1A        ,4,1 ,V ,50064461, ,        ,20310620
107NX,17210338                      ,1750310,30062,1988,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,129,US,20240917,19880624,1N        ,4,1 ,V ,50122176, ,        ,20300104
10833,17274166                      ,1750201,17027,1982,HALL DAVID R                                      ,28 CESSNA BLVD                   ,OKLAHOMA CITY     ,OK,81118     ,2,037,US,20150818,19840530,1A        ,4,1 ,V ,50027470, ,20000124,20300814
108VT,K2077-11                      ,2080125,17027,1984,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,189,US,20180514,19840530,1U        ,4,1 ,V ,50043251, ,        ,20260629
10EW ,17257616                      ,1750434,30010,1990,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,175,US,20061214,19900523,1N        ,4,1 ,V ,50045706, ,20170317,20310616
10PZ ,4153                          ,1200959,52001,1995,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,188,US,20080906,19960623,1T        ,5,5 ,V ,50104400, ,19990715,20280725
10TG ,20017                         ,1530196,67000,2022,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,197,US,20230706,20220805,1T        ,5,5 ,V ,50110600, ,20230411,20310320
10VJ ,A7614-73                      ,1310241,30062,2006,BAKER WILLIAM F                                   ,7151 CESSNA BLVD                 ,PROVIDENCE        ,RI,74451     ,1,189,US,20231101,20090926,1A        ,5,1 ,V ,50007067, ,        ,20260124
1109F,17251874                      ,1750198,30010,1992,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,118,US,20160305,19951205,1N        ,4,1 ,V ,50056013, ,20110617,20310629
110VY,17214326                      ,1750767,41514,2006,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,047,US,20140827,20060526,1T        ,4,2 ,V ,50061236, ,20120629,20281122
110XE,7027                          ,1860243,17003,2020,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,134,US,20230417,20210412,1U        ,4,1 ,V ,50034331, ,20220105,20260223
110XH,17231737                      ,1750663,41514,2008,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,078,US,20170120,20110216,1N        ,5,2 ,V ,50005220, ,20160113,20270729
1117M,2120                          ,1200300,67000,2016,FEDERAL EXPRESS CORP                              ,9131 AIRPORT RD                  ,MEMPHIS           ,TN,60277     ,S,127,US,20190609,20170306,1T        ,5,5 ,V ,50025033, ,20230601,20300216
11197,28-1988843                    ,2630345,17027,2015,ADAMS DAVID H                                     ,2451 PROSPECT AVE                ,SAVANNAH          ,GA,44816     ,S,181,US,20231208,20160824,1A        ,4,1 ,V ,50014601, ,20180829,20270222
111NP,G8685-61                      ,2190084,52001,2019,FEDERAL EXPRESS CORP                              ,9131 AIRPORT RD                  ,MEMPHIS           ,TN,60277     ,S,023,US,20250513,20220325,1T        ,5,5 ,V ,50061425, ,20250318,20260531
111UP,27882                         ,1530196,67000,1989,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,013,US,20210123,19900227,1T        ,5,5 ,V ,50027447, ,20180518,20310117
111WC,17278380                      ,1751213,00410,1987,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,007,US,20070628,19881108,1T        ,5,5 ,V ,50054354, ,20140828,20270531
11257,8790                          ,1860243,17027,1992,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,049,US,20180515,19950121,1N        ,4,1 ,V ,50003266, ,20010610,20260106
11275,28-2003460                    ,2630203,17003,2004,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,113,US,20091002,20070706,1N        ,4,1 ,V ,50017153, ,20190417,20260105
112DP,17218760                      ,1750865,30010,2003,WALKER DONALD M                                   ,9078 RIDGE RD                    ,MADISON           ,WI,55056     ,3,138,US,20100314,20050201,1A        ,4,1 ,V ,50060722, ,20230523,20280418
112KB,28-1976436                    ,2630203,30010,2012,HILL MICHAEL H                                    ,7570 MAPLE AVE                   ,BALTIMORE         ,MD,94896     ,1,140,US,20230608,20121101,1N        ,4,1 ,V ,50076352, ,20200708,20310819
112ML,17227299                      ,1750933,30062,1997,DAVIS MARY K                                      ,                                 ,BURBANK           ,CA,50888     ,7,148,US,20010628,19990915,1N        ,4,1 ,V ,50003077, ,20020925,20300920
1149J,H9752-45                      ,2410031,17027,2005,ADAMS LINDA F                                     ,8496 TAXIWAY DR                  ,SANTA ANA         ,CA,16582     ,7,083,US,20081125,20050214,1A        ,4,1 ,V ,50052360, ,20240504,20261123
114KL,17265520                      ,1750663,41538,1994,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,071,US,20080720,19970903,1T        ,5,2 ,V ,50032651, ,20200522,20310701
114WR,28-1979962                    ,2630203,30010,2007,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,122,US,20230810,20081023,1N        ,4,1 ,V ,50071405, ,20160113,20271126
115VH,J7110-55                      ,1310425,41538,1992,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,111,US,19990628,19920814,1T        ,5,2 ,V ,50121473, ,19940411,20310224
11617,1956                          ,1860243,30062,1970,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,116,US,19830131,19730413,1N        ,4,1 ,V ,50014244, ,20070816,20300424
117BU,3501                          ,1200586,67000,    ,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,004,US,20171213,19831127,1T        ,5,5 ,V ,50106436, ,20100101,20270317
11801,17211022                      ,1750933,17027,1965,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,133,US,20110417,19650706,1N        ,4,1 ,V ,50070534, ,19930323,20270307
118BN,17241336                      ,1750031,17027,1970,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,170,US,19840724,19701001,1N        ,4,1 ,V ,50110474, ,19781126,20270307
118GW,E297-18                       ,2520156,30062,1995,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,177,US,20040321,19970727,1U        ,4,1 ,V ,50040153, ,20081019,20280413
118MJ,43399                         ,1530804,41060,1979,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,155,US,20030325,19790326,1T        ,5,5 ,V ,50012312, ,20091005,20271217
119CQ,42802                         ,1531315,52001,2020,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,185,US,20210329,20200330,1T        ,5,5 ,V ,50053104, ,20200606,20260508
11BY ,17223610                      ,1750310,30010,2008,HALL DAVID R                                      ,28 CESSNA BLVD                   ,OKLAHOMA CITY     ,OK,81118     ,2,171,US,20161117,20110306,1N        ,4,1 ,V ,50033102, ,        ,20261011
11KQ ,G5272-77                      ,1640857,41545,1966,REDWOOD MEDFLIGHT LLC                             ,5539 SKYWAY CT                   ,DENVER            ,CO,23154     ,5,167,US,20210701,19680906,1N        ,5,5 ,V ,50007717, ,20210202,20270203
11NJ ,28-1979417                    ,2630655,17041,1993,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,031,US,20090521,19940214,1N        ,5,1 ,V ,50053545, ,20140512,20310207
11QJ ,28959                         ,1531315,52001,1986,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,072,US,20050217,19860701,1T        ,5,5 ,V ,50034624, ,20101202,20300216
1207J,H3690-66                      ,2080254,17041,1972,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,054,US,19861228,19740124,1N        ,5,1 ,V ,50061342, ,20070320,20311116
120CC,6163                          ,2740182,17050,1979,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,079,US,20201209,19821005,1N        ,6,1 ,V ,50104043, ,20020901,20270710
1217H,A2132-49                      ,2520221,17027,1985,JONES KENNETH K                                   ,4461 MAIN ST                     ,EL PASO           ,TX,51904     ,2,158,US,20060211,19860318,1A        ,4,1 ,V ,50014055, ,19950518,20301022
1223J,28-1993238                    ,2630594,17041,2000,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,067,US,20111118,20010827,1N        ,5,1 ,V ,50032755, ,        ,20281213
1229X,5188                          ,1860187,17027,1963,WELLS FARGO BANK NA TRUSTEE                       ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,053,US,20241107,19650917,1U        ,4,1 ,V ,50075312, ,20230324,20260107
122NH,17236803                      ,1750865,30062,1988,NGUYEN STEVEN B                                   ,1452 MAIN ST                     ,MIAMI             ,FL,43082     ,S,077,US,20190829,19880821,1N        ,4,1 ,V ,50071636, ,20051016,20300728
122XW,28-1984684                    ,2631051,41538,1977,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,152,US,20120610,19770521,1N        ,5,2 ,V ,50042211, ,20130527,20270724
12329,17223453                      ,1750767,41514,2001,REDWOOD MEDFLIGHT LLC                             ,5539 SKYWAY CT                   ,DENVER            ,CO,23154     ,5,098,US,20170629,20010312,1T        ,4,2 ,V ,50004536, ,20231230,20300816
1234R,J3147-81                      ,2080083,30010,2005,CLARK CAROL K                                     ,3190 COUNTY ROAD 12              ,BUFFALO           ,NY,39816     ,1,155,US,20180708,20081021,1N        ,4,1 ,V ,50057577, ,20171021,20260714
1244Z,D1031-19                      ,2520221,30010,1967,BAKER MARY W                                      ,4256 INDUSTRIAL DR               ,MANCHESTER NH     ,NH,42406     ,1,078,US,19810123,19700131,1U        ,4,1 ,V ,50017762, ,19960425,20270604
12473,17211119                      ,1750933,30010,1982,ADAMS MARY J                                      ,8827 INDUSTRIAL DR               ,RENO              ,NV,73372     ,7,143,US,20191118,19850317,1N        ,4,1 ,V ,50022565, ,20220121,20290813
12524,17241529                      ,1751181,30062,1987,WHITE DAVID K                                     ,9847 INDUSTRIAL DR               ,SALT LAKE CITY    ,UT,25866     ,5,068,US,20040707,19890906,1A        ,5,1 ,V ,50060660, ,        ,20311202
125NR,12691                         ,2740262,60515,1976,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,176,US,20210105,19780116,1N        ,6,3 ,V ,50010570, ,19910328,20310220
126PA,28-2005888                    ,2630345,17003,2018,HILL MICHAEL H                                    ,7570 MAPLE AVE                   ,BALTIMORE         ,MD,94896     ,1,018,US,20201129,20180324,1N        ,4,1 ,V ,50016450, ,        ,20270919
126SP,L4272-22                      ,2520026,30010,1989,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,151,US,20170105,19901017,1N        ,4,1 ,V ,50073632, ,20201122,20300813
126TV,A2186-79                      ,1420253,17050,1994,STATE OF ALASKA                                   ,6346 AVIATION WAY                ,ANCHORAGE         ,AK,96991     ,A,167,US,20151228,19960408,1N        ,6,1 ,V ,50022606, ,20060105,20261011
128AL,32592                         ,1530196,41060,1970,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,018,US,19810704,19700902,1T        ,5,5 ,V ,50013772, ,19870904,20280622
12CQ ,H1421-96                      ,1420164,17050,1966,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,197,US,19860723,19670527,1N        ,6,1 ,V ,50075017, ,19910525,20300919
12EK ,H170-30                       ,1310425,41538,2009,FEDERAL EXPRESS CORP                              ,9131 AIRPORT RD                  ,MEMPHIS           ,TN,60277     ,S,154,US,20220528,20110921,1N        ,5,2 ,V ,50045623, ,20220803,20261228
12KP ,28-2008654                    ,2630808,30062,1974,ADAMS LINDA F                                     ,8496 TAXIWAY DR                  ,SANTA ANA         ,CA,16582     ,7,048,US,20070807,19761105,1A        ,5,1 ,V ,50010505, ,        ,20310426
12KT ,7095                          ,1860187,17003,2006,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,152,US,20180109,20090111,1N        ,4,1 ,V ,50021756, ,20211030,20280819
12KY ,2337                          ,1860187,30010,1986,MILLER JOHN K                                     ,7853 TAXIWAY DR                  ,MADISON           ,WI,54657     ,3,113,US,20161217,19871103,1U        ,4,1 ,V ,50057745, ,20190403,20260621
12YA ,A9154-48                      ,1970591,41514,1973,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,030,US,19740821,19740224,1T        ,5,2 ,V ,50104463, ,19850111,20300525
13053,48034                         ,1531128,67000,1976,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,164,US,19860711,19790209,1T        ,5,5 ,V ,50104022, ,19910419,20300119
130LG,F7358-28                      ,2300111,00410,1978,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,047,US,19810427,19791012,1N        ,5,5 ,V ,50046033,Y,19830614,20311214
1315D,17246998                      ,1751024,17041,1994,WALKER EDWARD S                                   ,9326 LAKEVIEW DR                 ,HOUSTON           ,TX,17894     ,2,127,US,20240605,19970310,1N        ,5,1 ,V ,50042274, ,20050914,20300911
13172,1297                          ,1200010,67000,1971,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,119,US,19741027,19720703,1T        ,5,5 ,V ,50027657, ,20201110,20290813
1317Q,17253810                      ,1750434,30062,2006,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,161,US,20110722,20060323,1A        ,4,1 ,V ,50054227, ,20090222,20290524
1318A,C3791-55                      ,2080125,17003,1971,WELLS FARGO BANK NA TRUSTEE                       ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,190,US,20091111,19711127,1A        ,4,1 ,V ,50115776, ,19950424,20270718
1318W,7789                          ,1200959,52001,1987,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,126,US,20080808,19881019,1T        ,5,5 ,V ,50057053, ,20091106,20301208
131BW,11629                         ,1200300,52001,2004,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,017,US,20140126,20060726,1T        ,5,5 ,V ,50052254, ,20091023,20281230
131GN,B1563-76                      ,1310425,41538,2016,STATE OF ALASKA                                   ,6346 AVIATION WAY                ,ANCHORAGE         ,AK,96991     ,A,036,US,20250214,20190705,1N        ,5,2 ,V ,50060554, ,20230610,20271113
1323N,J8888-77                      ,2410031,17027,    ,TEXTRON AVIATION INC                              ,5754 MAIN ST                     ,WICHITA           ,KS,82340     ,C,074,US,20101020,20081031,1N        ,4,1 ,V ,50014664, ,20090916,20260919
133QJ,28-1987982                    ,2630345,30010,1972,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,062,US,20231213,19721021,1N        ,4,1 ,V ,50002667, ,19850418,20301204
1343Z,M2854-10                      ,1310632,30062,1968,REDWOOD MEDFLIGHT LLC                             ,5539 SKYWAY CT                   ,DENVER            ,CO,23154     ,5,135,US,19920706,19700807,1N        ,5,1 ,V ,50036263, ,19741005,20260123
134GZ,H282-44                       ,1420164,60515,1981,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,126,US,19981115,19820921,1N        ,6,3 ,V ,50061321, ,19990311,20280222
134MZ,28-2005651                    ,2630154,30010,1966,MOORE MICHAEL S                                   ,5431 RIDGE RD                    ,LINCOLN           ,NE,71069     ,C,170,US,19701124,19690906,1N        ,4,1 ,V ,50100410, ,19970607,20300507
1352B,36213                         ,1530714,67000,2010,UNITED PARCEL SERVICE CO                          ,3222 PROSPECT AVE                ,LOUISVILLE        ,KY,88561     ,S,100,US,20210306,20120630,1T        ,5,5 ,V ,50006636, ,20171016,20290602
1359F,3951                          ,1860047,17003,1986,JOHNSON MICHAEL S                                 ,7574 AIRPORT RD                  ,CLEVELAND         ,OH,16590     ,3,135,US,20250424,19891224,1N        ,4,1 ,V ,50032503, ,20210330,20290522
135XT,17238333                      ,1750201,30062,2004,TURNER KENNETH F                                  ,3555 MERIDIAN PKWY               ,DALLAS            ,TX,73464     ,2,098,US,20250115,20040829,1N        ,4,1 ,V ,50013751, ,        ,20260715
13722,17273693                      ,1750310,30062,1975,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,094,US,19900408,19750830,1U        ,4,1 ,V ,50116460, ,20021114,20270709
1378K,B5566-50                      ,2520221,30010,2007,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,004,US,20140918,20080828,1N        ,4,1 ,V ,50102363, ,20190518,20270208
1385B,25587                         ,1530469,41060,1975,FEDERAL EXPRESS CORP                              ,9131 AIRPORT RD                  ,MEMPHIS           ,TN,60277     ,S,087,US,19840702,19760619,1T        ,5,5 ,V ,50040257, ,19871115,20280919
138TN,A4962-28                      ,2410192,17027,2014,TORRES WILLIAM S                                  ,1351 TAXIWAY DR                  ,FAIRBANKS         ,AK,12540     ,A,145,US,20160313,20141126,1U        ,4,1 ,V ,50106667, ,20230312,20280821
13975,G5885-30                      ,1310425,41514,2001,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,025,US,20240718,20030525,1T        ,5,2 ,V ,50046536, ,20140503,20300529
13984,17246277                      ,1751426,52040,1965,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,184,US,19801024,19680817,1T        ,5,5 ,V ,50066706, ,19790822,20290213
139XW,30274                         ,1531209,52001,2014,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,021,US,20180324,20170704,1T        ,5,5 ,V ,50050260, ,20221001,20310605
13HR ,F3683-54                      ,2190453,41060,2021,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,107,US,20250118,20211014,1T        ,5,5 ,V ,50072424, ,20230820,20280321
13YP ,28-2013292                    ,2630769,30062,2019,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,138,US,20250121,20191102,1U        ,4,1 ,V ,50105440, ,20210330,20290921
14018,17222026                      ,1750201,17027,2009,MILLER JOHN K                                     ,7853 TAXIWAY DR                  ,MADISON           ,WI,54657     ,3,032,US,20160214,20120804,1N        ,4,1 ,V ,50000421, ,20250427,20280531
1401E,F6349-90                      ,1420372,60515,1976,NORTHERN LIGHTS HELI SERVICES INC                 ,4012 LAKEVIEW DR                 ,ANCHORAGE         ,AK,60196     ,A,084,US,20201009,19780528,1N        ,6,3 ,V ,50024540, ,19971114,20300625
14038,5913                          ,1860243,17027,2010,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,078,US,20170204,20121206,1N        ,4,1 ,V ,50114316, ,20181216,20260913
140MB,28-1978887                    ,2630769,30010,1970,WALKER EDWARD S                                   ,9326 LAKEVIEW DR                 ,HOUSTON           ,TX,17894     ,2,199,US,20141102,19701104,1A        ,4,1 ,V ,50120327, ,20080509,20291026
1416T,C1649-39                      ,1310519,17041,2006,ADAMS CAROL L                                     ,7444 COUNTY ROAD 12              ,JACKSON           ,MS,50189     ,S,105,US,20100530,20060115,1A        ,5,1 ,V ,50023060, ,20071125,20270401
14185,A1427-97                      ,1420164,60012,2006,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,130,US,20111208,20060325,1N        ,6,3 ,V ,50116437, ,        ,20280710
141SP,28-1994126                    ,2630594,30062,1968,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,163,US,19791228,19681217,1A        ,5,1 ,V ,50027721, ,19820531,20260720
1434G,6954                          ,1860047,17027,1985,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,030,US,20070607,19860103,1A        ,4,1 ,V ,50055456, ,20180410,20300115
143AC,H9962-94                      ,1310519,17041,1981,NELSON KENNETH J                                  ,2759 LAKEVIEW DR                 ,NEW YORK          ,NY,89593     ,1,001,US,19820726,19810324,1N        ,5,1 ,V ,50104336, ,20101211,20290819
143ZF,28-1994422                    ,2631051,41514,2004,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,136,US,20120108,20071006,1N        ,5,2 ,V ,50102174, ,20190825,20310905
144JB,17259429                      ,1750310,17027,1978,NELSON KENNETH J                                  ,2759 LAKEVIEW DR                 ,NEW YORK          ,NY,89593     ,1,045,US,19880408,19780109,1A        ,4,1 ,V ,50050636, ,19950420,20270121
